# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jul 31 13:05:25 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
#
pl_name,sy_snum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim
Kepler-414 c,1,0.069900,,,0,3.010,0.540,-0.250,0,29.90000,12.40000,-10.50000,0,0.000000,,,0,0.95,,,0,0.89,,,0,0.050,0.102,-0.102,0
Kepler-415 b,1,0.042600,,,0,1.210,0.130,-0.100,0,119.90000,102.10000,-87.40000,0,0.000000,,,0,0.64,,,0,0.67,,,0,0.010,0.140,-0.141,0
Kepler-415 c,1,0.069500,,,0,2.010,0.150,-0.060,0,4.70000,,,0,0.000000,,,0,0.64,,,0,0.67,,,0,0.010,0.140,-0.141,0
Kepler-416 b,1,0.065800,,,0,2.480,0.990,-0.330,0,58.20000,53.40000,-39.50000,0,0.000000,,,0,1.07,,,0,1.00,,,0,0.126,0.014,-0.014,0
Kepler-416 c,1,0.102100,,,0,2.450,0.260,-0.160,0,6.57000,,,0,0.000000,,,0,1.07,,,0,1.00,,,0,0.126,0.014,-0.014,0
Kepler-417 b,1,0.100600,,,0,2.310,0.860,-0.170,0,11.00000,9.30000,-7.90000,0,0.000000,,,0,0.81,,,0,0.90,,,0,-0.204,0.014,-0.014,0
Kepler-417 c,1,0.119400,,,0,2.690,0.190,-0.140,0,7.70000,,,0,0.000000,,,0,0.81,,,0,0.90,,,0,-0.204,0.014,-0.014,0
Kepler-418 b,1,0.377900,,,0,13.450,1.790,-1.790,0,349.61125,,,1,0.200000,0.110000,-0.110000,0,1.09,0.14,-0.14,0,0.98,0.08,-0.08,0,-0.050,0.100,-0.100,0
Kepler-418 c,1,0.102400,,,0,5.221,,,0,23.70000,,,0,0.000000,,,0,1.08,0.16,-0.13,0,0.96,0.08,-0.06,0,-0.060,0.150,-0.150,0
Kepler-419 b,1,0.370000,0.007000,-0.006000,0,10.800,1.400,-1.300,0,794.50000,95.30000,-95.30000,0,0.833000,0.013000,-0.013000,0,1.74,0.07,-0.07,0,1.39,0.08,-0.07,0,0.176,0.070,-0.070,0
Kepler-419 c,1,1.680000,0.030000,-0.030000,0,12.600,,,0,2320.10000,127.10000,-127.10000,0,0.184000,0.002000,-0.002000,0,1.74,0.07,-0.07,0,1.39,0.08,-0.07,0,0.176,0.070,-0.070,0
Kepler-42 b,1,0.011600,,,0,0.780,0.220,-0.220,0,0.39900,,,0,0.040000,0.200000,-0.040000,0,0.17,0.04,-0.04,0,0.13,0.05,-0.05,0,-0.330,0.120,-0.120,0
Kepler-42 c,1,0.006000,,,0,0.730,0.200,-0.200,0,0.31500,,,0,0.000000,0.100000,0.000000,0,0.17,0.04,-0.04,0,0.13,0.05,-0.05,0,-0.330,0.120,-0.120,0
Kepler-42 d,1,0.015400,,,0,0.570,0.180,-0.180,0,0.13000,,,0,0.020000,0.220000,-0.020000,0,0.17,0.04,-0.04,0,0.13,0.05,-0.05,0,-0.330,0.120,-0.120,0
Kepler-421 b,1,1.219000,0.089000,-0.089000,0,4.160,0.190,-0.160,0,16.10000,,,0,0.041000,0.095000,-0.034000,0,0.76,0.03,-0.03,0,0.79,0.03,-0.03,0,-0.250,0.080,-0.080,0
Kepler-422 b,1,0.082000,0.011000,-0.010000,0,12.890,1.230,-1.230,0,136.66000,41.32000,-41.32000,0,0.000000,,,0,1.24,0.12,-0.12,0,1.15,0.06,-0.06,0,0.230,0.090,-0.090,0
Kepler-423 b,1,0.035850,0.000520,-0.001140,0,13.361,0.583,-0.583,0,189.10100,25.74300,-25.74300,0,0.019000,0.028000,-0.014000,0,0.95,0.04,-0.04,0,0.85,0.04,-0.04,0,-0.100,0.050,-0.050,0
Kepler-424 b,1,0.044000,0.005000,-0.004000,0,9.980,0.900,-0.670,0,327.35000,41.32000,-41.32000,0,0.000000,,,0,0.94,0.06,-0.06,0,1.01,0.05,-0.05,0,0.440,0.140,-0.140,0
Kepler-424 c,1,0.730000,0.080000,-0.070000,0,12.700,,,0,2215.18000,197.05000,-197.05000,0,,,,,0.94,0.06,-0.06,0,1.01,0.05,-0.05,0,0.440,0.140,-0.140,0
Kepler-425 b,1,0.046400,0.000800,-0.000800,0,10.962,0.247,-0.247,0,79.45000,25.43000,-25.43000,0,0.330000,,,1,0.86,0.02,-0.02,0,0.93,0.05,-0.05,0,0.240,0.110,-0.110,0
Kepler-426 b,1,0.041400,0.001000,-0.001000,0,12.220,0.340,-0.340,0,108.06000,25.43000,-25.43000,0,0.180000,,,1,0.92,0.02,-0.02,0,0.91,0.06,-0.06,0,-0.210,0.080,-0.080,0
Kepler-427 b,1,0.091000,0.010000,-0.010000,0,13.790,2.350,-2.350,0,92.17000,28.60000,-28.60000,0,0.570000,,,1,1.35,0.20,-0.20,0,0.96,0.06,-0.06,0,-0.190,0.070,-0.070,0
Kepler-428 b,1,0.043300,0.000900,-0.000900,0,12.110,0.340,-0.340,0,403.63000,60.39000,-60.39000,0,0.220000,,,1,0.80,0.02,-0.02,0,0.87,0.05,-0.05,0,0.090,0.170,-0.170,0
Kepler-43 b,1,0.046000,0.002600,-0.002500,0,13.664,0.729,-0.717,0,1026.59090,82.63580,-82.63580,0,0.017000,0.027000,-0.009000,0,1.42,0.07,-0.07,0,1.32,0.09,-0.09,0,0.330,0.110,-0.110,0
Kepler-430 b,1,0.224400,,,0,3.250,,,0,10.60000,,,0,0.000000,,,0,1.49,0.27,-0.23,0,1.17,0.13,-0.10,0,0.200,0.100,-0.100,0
Kepler-430 c,1,0.475700,,,0,1.750,,,0,3.71000,,,0,0.000000,,,0,1.49,0.27,-0.23,0,1.17,0.13,-0.10,0,0.200,0.100,-0.100,0
Kepler-431 b,1,0.071900,,,0,0.764,,,0,0.37000,,,0,0.000000,,,0,1.09,0.19,-0.11,0,1.07,0.06,-0.04,0,0.070,0.100,-0.100,0
Kepler-431 c,1,0.084700,,,0,0.668,,,0,0.22900,,,0,0.000000,,,0,1.09,0.19,-0.11,0,1.07,0.06,-0.04,0,0.070,0.100,-0.100,0
Kepler-431 d,1,0.104500,,,0,1.110,,,0,1.41000,,,0,0.000000,,,0,1.09,0.19,-0.11,0,1.07,0.06,-0.04,0,0.070,0.100,-0.100,0
Kepler-432 b,2,0.301000,0.016000,-0.011000,0,12.834,0.404,-0.437,0,1719.46030,101.70560,-57.20940,0,0.513400,0.009800,-0.008900,0,4.06,0.12,-0.08,0,1.32,0.10,-0.07,0,-0.070,0.100,-0.100,0
Kepler-432 c,2,,,,,13.300,,,0,772.32690,69.92260,-76.27920,0,0.498000,0.029000,-0.059000,0,4.06,0.12,-0.08,0,1.32,0.10,-0.07,0,-0.070,0.100,-0.100,0
Kepler-433 b,1,0.067900,0.002700,-0.002700,0,16.250,1.790,-1.790,0,896.24000,165.26000,-165.26000,0,0.119000,0.079000,-0.079000,0,2.26,0.25,-0.25,0,1.46,0.17,-0.17,0,-0.010,0.200,-0.200,0
Kepler-434 b,1,0.114300,0.003000,-0.003000,0,12.670,2.910,-2.020,0,908.96000,111.24000,-111.24000,0,0.131000,0.072000,-0.072000,0,1.38,0.13,-0.13,0,1.20,0.09,-0.09,0,0.250,0.140,-0.140,0
Kepler-435 b,1,0.094800,0.001800,-0.001800,0,22.310,2.020,-2.020,0,266.97000,47.67000,-47.67000,0,0.114000,0.077000,-0.077000,0,3.21,0.30,-0.30,0,1.54,0.09,-0.09,0,-0.180,0.110,-0.110,0
Kepler-436 b,1,0.339000,0.134000,-0.053000,0,2.730,0.230,-0.240,0,7.90000,,,0,0.190000,0.130000,-0.110000,-1,0.70,0.03,-0.02,0,0.73,0.03,-0.03,0,0.010,0.100,-0.100,0
Kepler-436 c,1,0.115800,,,0,2.330,0.190,-0.140,0,6.04000,,,0,0.000000,,,0,0.71,0.04,-0.04,0,0.75,0.04,-0.04,0,0.020,0.148,-0.164,0
Kepler-437 b,1,0.288000,0.066000,-0.040000,0,2.140,0.220,-0.170,0,5.22000,,,0,0.020000,0.080000,-0.020000,-1,0.68,0.03,-0.02,0,0.71,0.03,-0.03,0,0.000,0.100,-0.100,0
Kepler-438 b,1,0.166000,0.051000,-0.042000,0,1.120,0.160,-0.170,0,1.46000,,,0,0.030000,0.100000,-0.030000,-1,0.52,0.04,-0.06,0,0.54,0.04,-0.06,0,0.160,0.140,-0.140,0
Kepler-439 b,1,0.563000,0.165000,-0.080000,0,2.240,0.160,-0.450,0,5.65000,,,0,0.030000,0.080000,-0.030000,-1,0.87,0.08,-0.04,0,0.88,0.04,-0.04,0,0.020,0.100,-0.100,0
Kepler-44 b,1,0.044600,0.001100,-0.001100,0,12.220,0.780,-0.780,0,317.82000,31.78000,-31.78000,0,0.066000,,,1,1.35,0.08,-0.08,0,1.12,0.08,-0.08,0,0.150,0.100,-0.100,0
Kepler-440 b,1,0.242000,0.066000,-0.041000,0,1.860,0.240,-0.190,0,4.12000,,,0,0.340000,0.120000,-0.190000,-1,0.56,0.03,-0.05,0,0.57,0.04,-0.05,0,-0.300,0.150,-0.150,0
Kepler-441 b,1,0.640000,0.320000,-0.130000,0,1.640,0.220,-0.240,0,3.33000,,,0,0.100000,0.110000,-0.100000,-1,0.55,0.04,-0.05,0,0.57,0.05,-0.05,0,-0.570,0.180,-0.180,0
Kepler-442 b,1,0.409000,0.209000,-0.060000,0,1.340,0.110,-0.180,0,2.36000,,,0,0.040000,0.080000,-0.040000,-1,0.60,0.02,-0.02,0,0.61,0.03,-0.03,0,-0.370,0.100,-0.100,0
Kepler-443 b,1,0.495000,0.186000,-0.075000,0,2.330,0.190,-0.220,0,6.04000,,,0,0.110000,0.150000,-0.110000,-1,0.71,0.03,-0.02,0,0.74,0.03,-0.03,0,-0.010,0.100,-0.100,0
Kepler-444 b,3,0.041780,0.000790,-0.000790,0,0.403,0.016,-0.014,0,0.03740,,,0,0.160000,0.210000,-0.100000,0,0.75,0.01,-0.01,0,0.76,0.04,-0.04,0,-0.550,0.070,-0.070,0
Kepler-444 c,3,0.048810,0.000930,-0.000930,0,0.497,0.021,-0.017,0,0.07930,,,0,0.310000,0.120000,-0.150000,0,0.75,0.01,-0.01,0,0.76,0.04,-0.04,0,-0.550,0.070,-0.070,0
Kepler-444 d,3,0.060000,0.001100,-0.001100,0,0.530,0.022,-0.019,0,0.20000,0.50000,-0.10000,0,0.180000,0.160000,-0.120000,0,0.75,0.01,-0.01,0,0.76,0.04,-0.04,0,-0.550,0.070,-0.070,0
Kepler-444 e,3,0.069600,0.001300,-0.001300,0,0.546,0.017,-0.015,0,0.10000,0.20000,-0.10000,0,0.100000,0.200000,-0.070000,0,0.75,0.01,-0.01,0,0.76,0.04,-0.04,0,-0.550,0.070,-0.070,0
Kepler-444 f,3,0.081100,0.001500,-0.001500,0,0.741,0.041,-0.040,0,0.33200,,,0,0.290000,0.200000,-0.190000,0,0.75,0.01,-0.01,0,0.76,0.04,-0.04,0,-0.550,0.070,-0.070,0
Kepler-445 b,1,0.021700,,,0,1.580,0.230,-0.230,0,3.12000,,,0,0.000000,,,0,0.21,0.03,-0.03,0,0.18,0.04,-0.04,0,0.270,0.130,-0.130,0
Kepler-445 c,1,0.030100,,,0,2.510,0.360,-0.360,0,6.85000,,,0,0.000000,,,0,0.21,0.03,-0.03,0,0.18,0.04,-0.04,0,0.270,0.130,-0.130,0
Kepler-445 d,1,0.043900,,,0,1.250,0.190,-0.190,0,2.10000,,,0,0.000000,,,0,0.21,0.03,-0.03,0,0.18,0.04,-0.04,0,0.270,0.130,-0.130,0
Kepler-446 b,1,0.018200,,,0,1.500,0.250,-0.250,0,2.86000,,,0,0.000000,,,0,0.24,0.04,-0.04,0,0.22,0.05,-0.05,0,-0.300,0.120,-0.120,0
Kepler-446 c,1,0.028300,,,0,1.110,0.180,-0.180,0,1.41000,,,0,0.000000,,,0,0.24,0.04,-0.04,0,0.22,0.05,-0.05,0,-0.300,0.120,-0.120,0
Kepler-446 d,1,0.040300,,,0,1.350,0.220,-0.220,0,2.39000,,,0,0.000000,,,0,0.24,0.04,-0.04,0,0.22,0.05,-0.05,0,-0.300,0.120,-0.120,0
Kepler-447 b,1,0.076900,0.006200,-0.007900,0,18.490,6.610,-6.280,0,435.41000,152.55000,-146.20000,0,0.123000,0.037000,-0.036000,0,1.05,0.19,-0.19,0,1.00,0.21,-0.21,0,0.070,0.050,-0.050,0
Kepler-448 c,1,4.200000,2.400000,-0.900000,0,12.000,,,0,6992.26000,2224.81000,-1589.15000,0,0.650000,0.130000,-0.090000,0,1.40,0.07,-0.06,0,1.50,0.10,-0.10,0,0.081,0.009,-0.009,0
Kepler-449 b,1,0.102700,,,0,2.056,0.069,-0.069,0,4.88000,,,0,0.030000,0.280000,-0.030000,0,1.47,0.03,-0.03,0,1.02,0.03,-0.04,0,-0.165,0.012,-0.012,0
Kepler-449 c,1,0.197900,,,0,2.764,0.086,-0.086,0,8.07000,,,0,0.050000,0.240000,-0.050000,0,1.47,0.03,-0.03,0,1.02,0.03,-0.04,0,-0.165,0.012,-0.012,0
Kepler-45 b,1,0.030000,,,0,10.760,1.230,-1.230,0,160.49700,28.60400,-28.60400,0,0.110000,0.100000,-0.090000,0,0.55,0.11,-0.11,0,0.59,0.06,-0.06,0,0.280,0.140,-0.140,0
Kepler-450 b,1,0.199300,,,0,6.140,0.330,-0.330,0,19.40000,11.10000,-6.80000,0,0.020000,0.140000,-0.020000,0,1.64,0.08,-0.11,0,1.19,0.20,-0.14,0,0.128,0.014,-0.014,0
Kepler-450 c,1,0.132400,,,0,2.620,0.140,-0.140,0,12.50000,3.20000,-2.60000,0,0.020000,0.170000,-0.020000,0,1.64,0.08,-0.11,0,1.19,0.20,-0.14,0,0.128,0.014,-0.014,0
Kepler-450 d,1,0.082000,,,0,0.837,0.068,-0.068,0,17.60000,9.50000,-6.70000,0,0.140000,0.240000,-0.140000,0,1.64,0.08,-0.11,0,1.19,0.20,-0.14,0,0.128,0.014,-0.014,0
Kepler-451 c,2,,,,,13.500,,,0,511.70374,44.49598,-44.49598,0,0.290000,0.070000,-0.070000,0,0.20,0.00,0.00,0,0.48,,,0,-0.092,,,0
Kepler-451 d,2,,,,,13.500,,,0,559.37800,57.20911,-57.20911,0,0.000000,,,0,0.20,0.00,0.00,0,0.48,,,0,-0.092,,,0
Kepler-452 b,1,1.046000,0.019000,-0.015000,0,1.630,0.230,-0.200,0,3.29000,,,0,0.000000,,,0,1.11,0.15,-0.09,0,1.04,0.05,-0.05,0,0.210,0.090,-0.090,0
Kepler-453 b,2,0.790300,0.002800,-0.002800,0,6.204,0.039,-0.039,0,16.00000,,,1,0.035900,0.008800,-0.008800,0,0.83,0.01,-0.01,0,0.94,0.01,-0.01,0,0.090,0.100,-0.100,0
Kepler-454 b,2,0.095400,0.001200,-0.001200,0,2.354,0.224,-0.224,0,6.05338,1.51018,-1.51018,0,0.000000,,,0,1.05,0.07,-0.07,0,0.85,0.22,-0.22,0,0.270,,,0
Kepler-454 c,2,,,,,12.900,,,0,1417.52180,38.13960,-38.13960,0,0.021400,0.007700,-0.007700,0,1.07,0.01,-0.01,0,1.03,0.04,-0.03,0,0.270,0.040,-0.040,0
Kepler-457 d,1,0.099600,,,0,2.985,,,0,9.19000,,,0,0.000000,,,0,1.24,0.38,-0.21,0,1.15,0.19,-0.16,0,-0.160,0.250,-0.300,0
Kepler-458 c,1,0.154000,,,0,4.200,0.630,-0.400,0,16.40000,,,0,0.000000,,,0,2.22,,,0,1.15,,,0,0.144,0.027,-0.027,0
Kepler-46 b,1,0.196800,0.002900,-0.002800,0,9.057,0.471,-0.482,0,1907.00000,,,1,0.010000,0.010000,-0.010000,0,0.94,0.04,-0.04,0,0.90,0.04,-0.04,0,0.410,0.100,-0.100,0
Kepler-46 c,1,0.279900,0.004100,-0.004000,0,13.500,,,0,119.49900,6.67400,-6.03900,0,0.014600,0.003400,-0.003600,0,0.94,0.04,-0.04,0,0.90,0.04,-0.04,0,0.410,0.100,-0.100,0
Kepler-46 d,1,0.067000,,,0,1.640,0.920,-0.920,0,3.33000,,,0,0.000000,,,0,0.79,0.44,-0.44,0,0.92,0.03,-0.03,0,0.370,0.052,-0.053,0
Kepler-460 c,1,0.721100,,,0,5.520,2.070,-0.730,0,26.10000,,,0,0.000000,,,0,1.26,0.49,-0.17,0,1.17,0.15,-0.09,0,0.060,0.141,-0.136,0
Kepler-461 b,1,0.082100,,,0,2.580,0.070,-0.060,0,7.18000,,,0,0.000000,,,0,0.91,0.02,-0.02,0,0.98,0.02,-0.03,0,0.040,0.089,-0.092,0
Kepler-462 b,1,0.417200,,,0,3.000,0.200,-0.100,0,53.90000,104.60000,-23.80000,0,0.042000,0.046000,-0.008000,0,1.57,0.08,-0.06,0,1.59,0.08,-0.08,0,0.050,0.110,-0.110,0
Kepler-462 c,1,0.758400,,,0,4.000,0.200,-0.200,0,6.00000,10.80000,-4.90000,0,0.110000,0.050000,-0.020000,0,1.57,0.08,-0.06,0,1.59,0.08,-0.08,0,0.050,0.110,-0.110,0
Kepler-463 b,1,0.078000,,,0,3.050,0.430,-0.300,0,9.53000,,,0,0.000000,,,0,0.90,0.13,-0.08,0,0.87,0.05,-0.05,0,-0.280,0.124,-0.116,0
Kepler-464 b,1,0.076500,,,0,3.300,0.160,-0.130,0,10.90000,,,0,0.000000,,,0,1.59,0.07,-0.06,0,1.21,0.07,-0.08,0,0.190,0.074,-0.071,0
Kepler-465 b,1,0.095300,,,0,2.950,0.250,-0.160,0,9.01000,,,0,0.000000,,,0,1.29,0.11,-0.07,0,1.23,0.04,-0.03,0,0.090,0.082,-0.082,0
Kepler-466 b,1,0.267100,,,0,2.850,0.220,-0.170,0,8.50000,,,0,0.000000,,,0,1.05,0.08,-0.06,0,1.04,0.04,-0.04,0,-0.010,0.092,-0.091,0
Kepler-466 c,1,0.046500,,,0,1.250,0.100,-0.070,0,2.10000,,,0,0.000000,,,0,1.05,0.08,-0.06,0,1.04,0.04,-0.04,0,-0.010,0.092,-0.091,0
Kepler-467 b,1,0.165100,,,0,2.250,0.300,-0.080,0,5.69000,,,0,0.000000,,,0,1.37,0.04,-0.03,0,1.05,0.03,-0.03,0,0.060,0.072,-0.049,0
Kepler-468 b,1,0.221300,,,0,13.340,0.320,-0.290,0,,,,,0.000000,,,0,0.87,0.02,-0.02,0,0.96,0.02,-0.03,0,0.100,0.086,-0.084,0
Kepler-47 b,2,0.287700,0.001400,-0.001100,0,3.050,0.040,-0.040,0,2.07000,23.70000,-2.07000,0,0.021000,0.002500,-0.002200,0,0.94,0.01,-0.01,0,0.96,0.01,-0.01,0,-0.250,0.080,-0.080,0
Kepler-47 c,2,0.963800,0.004100,-0.004400,0,4.650,0.090,-0.070,0,3.17000,2.18000,-1.25000,0,0.044000,0.029000,-0.019000,0,0.94,0.01,-0.01,0,0.96,0.01,-0.01,0,-0.250,0.080,-0.080,0
Kepler-47 d,2,0.699200,0.003100,-0.003300,0,7.040,0.660,-0.490,0,19.02000,23.84000,-11.67000,0,0.024000,0.025000,-0.017000,0,0.94,0.01,-0.01,0,0.96,0.01,-0.01,0,-0.043,0.014,-0.014,0
Kepler-470 b,1,0.232200,,,0,14.440,5.830,-2.670,0,35600.00000,,,0,0.000000,,,0,1.66,0.67,-0.31,0,1.40,0.22,-0.16,0,0.040,0.124,-0.163,0
Kepler-471 b,1,0.062600,,,0,14.960,5.420,-2.960,0,37000.00000,,,0,0.000000,,,0,1.80,0.65,-0.36,0,1.49,0.22,-0.18,0,0.070,0.144,-0.156,0
Kepler-472 b,1,0.048300,,,0,3.220,0.130,-0.280,0,10.50000,,,0,0.000000,,,0,0.78,0.02,-0.01,0,0.85,0.03,-0.03,0,0.160,0.093,-0.098,0
Kepler-473 b,1,0.118600,,,0,4.080,0.790,-0.670,0,15.60000,,,0,0.000000,,,0,1.34,0.26,-0.22,0,1.06,0.07,-0.06,0,0.120,0.093,-0.084,0
Kepler-474 b,1,0.060600,,,0,3.060,0.480,-0.370,0,9.59000,,,0,0.000000,,,0,1.08,0.17,-0.12,0,0.99,0.05,-0.05,0,-0.010,0.088,-0.127,0
Kepler-475 b,1,0.039900,,,0,2.490,0.050,-0.180,0,6.76000,,,0,0.000000,,,0,0.79,0.02,-0.01,0,0.86,0.03,-0.03,0,0.210,0.081,-0.092,0
Kepler-476 b,1,0.112600,,,0,3.080,0.510,-0.300,0,9.69000,,,0,0.000000,,,0,1.09,0.16,-0.10,0,1.03,0.05,-0.04,0,0.040,0.090,-0.099,0
Kepler-477 b,2,0.091100,,,0,2.070,0.180,-0.120,0,4.94000,,,0,0.000000,,,0,0.79,0.02,-0.02,0,0.87,0.03,-0.03,0,-0.040,0.112,-0.100,0
Kepler-478 b,1,0.103200,,,0,2.710,0.090,-0.330,0,7.80000,,,0,0.000000,,,0,0.80,0.03,-0.02,0,0.85,0.03,-0.04,0,-0.030,0.105,-0.107,0
Kepler-479 b,1,0.099400,,,0,2.120,0.090,-0.070,0,5.14000,,,0,0.000000,,,0,0.81,0.03,-0.02,0,0.86,0.03,-0.04,0,-0.020,0.102,-0.107,0
Kepler-48 b,1,0.052800,,,0,1.880,0.100,-0.100,0,3.94000,2.10000,-2.10000,0,0.000000,,,0,0.89,0.05,-0.05,0,0.88,0.06,-0.06,0,0.170,0.070,-0.070,0
Kepler-48 c,1,0.084500,,,0,2.710,0.140,-0.140,0,14.61000,2.30000,-2.30000,0,0.000000,,,0,0.89,0.05,-0.05,0,0.88,0.06,-0.06,0,0.170,0.070,-0.070,0
Kepler-48 d,1,0.227900,,,0,2.040,0.110,-0.110,0,7.93000,4.60000,-4.60000,0,0.000000,,,0,0.89,0.05,-0.05,0,0.88,0.06,-0.06,0,0.170,0.070,-0.070,0
Kepler-48 e,1,,,,,13.400,,,0,657.00000,25.00000,-25.00000,0,,,,,0.89,0.05,-0.05,0,0.88,0.06,-0.06,0,0.170,0.070,-0.070,0
Kepler-480 b,1,0.060500,,,0,2.780,0.290,-0.210,0,8.15000,,,0,0.000000,,,0,1.34,0.14,-0.10,0,1.25,0.05,-0.04,0,0.110,0.094,-0.091,0
Kepler-481 b,1,0.089400,,,0,2.500,0.370,-0.290,0,6.80000,,,0,0.000000,,,0,1.09,0.16,-0.11,0,1.01,0.04,-0.04,0,0.030,0.087,-0.091,0
Kepler-482 b,1,0.253700,,,0,2.360,0.370,-0.140,0,6.17000,,,0,0.000000,,,0,0.72,0.03,-0.03,0,0.75,0.04,-0.04,0,-0.130,0.110,-0.118,0
Kepler-483 b,1,0.207200,,,0,3.210,0.680,-0.430,0,10.40000,,,0,0.000000,,,0,1.47,0.31,-0.19,0,1.28,0.10,-0.07,0,0.090,0.091,-0.089,0
Kepler-484 b,1,0.089600,,,0,2.280,0.070,-0.050,0,5.82000,,,0,0.000000,,,0,0.87,0.02,-0.02,0,0.96,0.02,-0.03,0,-0.100,0.090,-0.085,0
Kepler-485 b,1,0.043300,,,0,14.410,3.380,-1.630,0,35500.00000,,,0,0.000000,,,0,1.09,0.26,-0.12,0,1.07,0.08,-0.07,0,0.040,0.147,-0.161,0
Kepler-486 b,1,0.172500,,,0,11.000,0.400,-0.560,0,84.20000,,,0,0.000000,,,0,0.75,0.03,-0.04,0,0.79,0.04,-0.04,0,-0.040,0.150,-0.166,0
Kepler-487 b,1,0.115700,,,0,11.420,0.690,-0.530,0,,,,,0.000000,,,0,0.88,0.05,-0.04,0,0.91,0.04,-0.04,0,0.000,0.099,-0.105,0
Kepler-487 c,1,0.214100,,,0,2.680,0.180,-0.490,0,7.65000,,,0,0.000000,,,0,0.88,0.05,-0.04,0,0.91,0.04,-0.04,0,0.000,0.099,-0.105,0
Kepler-487 d,1,0.033700,,,0,2.775,,,0,8.12000,,,0,0.000000,,,0,0.89,0.09,-0.07,0,0.87,0.06,-0.05,0,0.020,0.150,-0.150,0
Kepler-488 b,1,0.042800,,,0,15.790,3.850,-1.510,0,39400.00000,,,0,0.000000,,,0,1.09,0.27,-0.10,0,1.07,0.07,-0.07,0,0.030,0.139,-0.172,0
Kepler-489 b,1,0.120900,,,0,7.720,0.170,-0.200,0,46.10000,,,0,0.000000,,,0,0.76,0.02,-0.02,0,0.82,0.03,-0.03,0,0.000,0.105,-0.100,0
Kepler-49 b,1,0.059290,0.002270,-0.002270,0,2.720,,,0,8.00000,1.90000,-1.60000,0,0.000000,,,0,0.53,,,0,0.55,,,0,0.030,0.092,-0.071,0
Kepler-49 c,1,0.078210,0.003000,-0.003000,0,2.550,,,0,5.90000,1.50000,-1.50000,0,0.000000,,,0,0.53,,,0,0.55,,,0,0.030,0.092,-0.071,0
Kepler-49 d,1,0.031000,,,0,1.600,0.070,-0.070,0,3.19000,,,0,0.000000,,,0,0.56,0.02,-0.02,0,0.55,0.01,-0.01,0,0.030,0.092,-0.071,0
Kepler-49 e,1,0.116000,,,0,1.560,0.080,-0.080,0,3.05000,,,0,0.000000,,,0,0.56,0.02,-0.02,0,0.55,0.01,-0.01,0,0.030,0.092,-0.071,0
Kepler-490 b,1,0.045300,,,0,11.650,3.290,-1.380,0,,,,,0.000000,,,0,1.12,0.32,-0.13,0,1.08,0.10,-0.07,0,-0.020,0.132,-0.177,0
Kepler-491 b,1,0.051600,,,0,8.920,0.800,-0.510,0,59.00000,,,0,0.000000,,,0,1.03,0.09,-0.06,0,1.04,0.03,-0.03,0,0.370,0.049,-0.053,0
